LogicalName,SchemaName,AttributeType,AttributeOf,AttributeTypeName,CanBeSecuredForCreate,CanBeSecuredForRead,CanBeSecuredForUpdate,CanModifyAdditionalSettings,ColumnNumber,DeprecatedVersion,Description,DisplayName,EntityLogicalName,ExtensionData,HasChanged,InheritsFrom,IntroducedVersion,IsAuditEnabled,IsCustomAttribute,IsCustomizable,IsDataSourceSecret,IsFilterable,IsGlobalFilterEnabled,IsLogical,IsManaged,IsPrimaryId,IsPrimaryName,IsRenameable,IsRequiredForForm,IsRetrievable,IsSearchable,IsSecured,IsSortableEnabled,IsValidForAdvancedFind,IsValidForCreate,IsValidForForm,IsValidForGrid,IsValidForRead,IsValidForUpdate,IsValidODataAttribute,LinkedAttributeId,MetadataId,RequiredLevel,SourceType
modifiedonbehalfby,ModifiedOnBehalfBy,Lookup,,LookupType,False,False,False,True,7,,Unique identifier of the delegate user who modified the record.,Modified By (Delegate),m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,,{fc944397-9652-4ea4-a93c-c3ef4c26afb9},None,Standard
modifiedonbehalfbyname,ModifiedOnBehalfByName,String,modifiedonbehalfby,StringType,False,False,False,True,14,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{6a9a57a9-88f5-4303-b9aa-b651844c15d4},None,Standard
modifiedonbehalfbyyominame,ModifiedOnBehalfByYomiName,String,modifiedonbehalfby,StringType,False,False,False,True,15,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{edfb47cf-36b6-4d08-bf0d-80e793249838},SystemRequired,Standard
overriddencreatedon,OverriddenCreatedOn,DateTime,,DateTimeType,False,False,False,True,31,,Date and time that the record was migrated.,Record Created On,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,True,,{d6dd66ba-22c4-416b-ad50-cefccaad08b8},None,Standard
ownerid,OwnerId,Owner,,OwnerType,False,False,False,True,16,,Owner Id,Owner,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,,{62c07f76-fc90-4bdd-97c6-cf20945fc803},SystemRequired,Standard
owneridname,OwnerIdName,String,ownerid,StringType,False,False,False,True,18,,Name of the owner,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{8452e821-2e77-4eab-b763-e92ab44a1243},SystemRequired,Standard
owneridtype,OwnerIdType,EntityName,ownerid,EntityNameType,False,False,False,True,17,,Owner Id Type,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,,{a4938a1d-a046-4801-b8a0-92c933b7bc9e},SystemRequired,Standard
owneridyominame,OwnerIdYomiName,String,ownerid,StringType,False,False,False,True,19,,Yomi name of the owner,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{09867920-14d4-ef11-a730-7c1e5284b023},SystemRequired,Standard
owningbusinessunit,OwningBusinessUnit,Lookup,,LookupType,False,False,False,True,21,,Unique identifier for the business unit that owns the record,Owning Business Unit,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,,{11329604-26e1-448a-a3c8-e117a65006e3},None,Standard
owningbusinessunitname,OwningBusinessUnitName,String,owningbusinessunit,StringType,False,False,False,True,24,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{674d5060-3126-4979-aaf7-984d59100c7a},SystemRequired,Standard
owningteam,OwningTeam,Lookup,,LookupType,False,False,False,True,23,,Unique identifier for the team that owns the record.,Owning Team,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,,{c70346a2-4ba4-4712-abf8-84958956c8f4},None,Standard
owninguser,OwningUser,Lookup,,LookupType,False,False,False,True,22,,Unique identifier for the user that owns the record.,Owning User,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,,{eb0067fb-91f9-4256-a227-de7a92653a1f},None,Standard
statecode,statecode,State,,StateType,False,False,False,True,25,,Status of the Case,Status,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,,{54bc4fc8-5f7b-4c56-9f33-055fc8fbde5a},SystemRequired,Standard
statecodename,statecodeName,Virtual,statecode,VirtualType,False,False,False,True,26,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{4794ab6f-6fd4-4946-bd6f-172641b11699},None,Standard
statuscode,statuscode,Status,,StatusType,False,False,False,True,27,,Reason for the status of the Case,Status Reason,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,,{56fe7706-8c41-434e-b426-d702c914d82c},None,Standard
statuscodename,statuscodeName,Virtual,statuscode,VirtualType,False,False,False,True,28,,N/A,N/A,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{83a3072a-3049-4d93-addd-824e9297dd58},None,Standard
timezoneruleversionnumber,TimeZoneRuleVersionNumber,Integer,,IntegerType,False,False,False,True,32,,For internal use only.,Time Zone Rule Version Number,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,,{03e225f2-6b54-4580-8581-e98f1aea05db},None,Standard
utcconversiontimezonecode,UTCConversionTimeZoneCode,Integer,,IntegerType,False,False,False,True,33,,Time zone code that was in use when the record was created.,UTC Conversion Time Zone Code,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,,{7c80069f-3423-44c2-afc8-8f34485844a4},None,Standard
versionnumber,VersionNumber,BigInt,,BigIntType,False,False,False,True,29,,Version Number,Version Number,m360_case,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,,{3d11da54-73a2-4afb-9739-e31e2682d6ab},None,Standard
